Human.associated.gene.name	Associated.Gene.Name
ZSWIM5	Zswim5
ZXDC	Zxdc
ARNT	Arnt
SYVN1	Syvn1
NRBP1	Nrbp1
GPR1	Gpr1
ARSI	Arsi
LARP4B	Larp4b
IRF2	Irf2
LLGL1	Llgl1
FAM181B	Fam181b
MAPK4	Mapk4
PARP11	Parp11
EFCAB7	Efcab7
LENG8	Leng8
CHRNA6	Chrna6
HSPB6	Hspb6
INTU	Intu
ITGB3BP	Itgb3bp
GPR161	Gpr161
SLC30A1	Slc30a1
LDHAL6B	Ldhal6b
FRS3	Frs3
FAR2	Far2
ADAM9	Adam9
TMEM242	Tmem242
LIN37	Lin37
C14orf159	9030617O03Rik
RAB5C	Rab5c
CNBP	Cnbp
CNPPD1	Cnppd1
CITED4	Cited4
RHOG	Rhog
LAMB1	Lamb1
MCM3	Mcm3
ZMYM5	Zmym5
IQCC	Iqcc
PGM1	Pgm2
INO80B	Ino80b
INO80B-WBP1	Ino80b
USP49	Usp49
RSPH14	Rsph14
ATP13A3	Atp13a3
SESTD1	Sestd1
SAMD9L	Samd9l
MYL1	Myl1
PROSER3	Proser3
SGPL1	Sgpl1
PIWIL1	Piwil1
CTSA	Ctsa
PDK1	Pdk1
LACC1	Lacc1
RP11-65B7.2	Lacc1
TOMM6	Tomm6
TOMM20	Tomm20
HIGD2B	Higd2a
HIGD2A	Higd2a
PRICKLE4	Prickle4
HEPACAM2	Hepacam2
CCDC122	Ccdc122
GNAZ	Gnaz
DENND4A	Dennd4a
IFNA7	Ifna7
IFNA8	Ifna7
IFNA1	Ifna7
IFNA16	Ifna7
IFNA6	Ifna7
IFNA5	Ifna7
IFNA13	Ifna7
IFNA17	Ifna7
IFNA21	Ifna7
IFNA10	Ifna7
IFNA4	Ifna7
IFNA14	Ifna7
IFNA2	Ifna7
NAV1	Nav1
LENG9	Leng9
TAS2R60	Tas2r135
EPHA7	Epha7
MED20	Med20
SLCO1A2	Slco1a1
NSUN4	Nsun4
LSAMP	Lsamp
IFNA7	Ifna11
IFNA8	Ifna11
IFNA1	Ifna11
IFNA16	Ifna11
IFNA6	Ifna11
IFNA5	Ifna11
IFNA13	Ifna11
IFNA17	Ifna11
IFNA21	Ifna11
IFNA10	Ifna11
IFNA4	Ifna11
IFNA14	Ifna11
IFNA2	Ifna11
ZNF282	Zfp282
SLC38A10	Slc38a10
TMEM135	Tmem135
IFNA7	Ifna6
IFNA8	Ifna6
IFNA1	Ifna6
IFNA16	Ifna6
IFNA6	Ifna6
IFNA5	Ifna6
IFNA13	Ifna6
IFNA17	Ifna6
IFNA21	Ifna6
IFNA10	Ifna6
IFNA4	Ifna6
IFNA14	Ifna6
IFNA2	Ifna6
MED20	Gm20517
PLA2G2F	Pla2g2f
ADPRHL1	Adprhl1
SH3TC1	Sh3tc1
PRICKLE4	Gm21981
GPR68	Gpr68
GJB2	Gjb2
CABP1	Cabp1
SERPINB12	Serpinb12
GMIP	Gmip
MAPK8	Mapk8
OLFML1	Olfml1
IFNA7	Ifna5
IFNA8	Ifna5
IFNA1	Ifna5
IFNA16	Ifna5
IFNA6	Ifna5
IFNA5	Ifna5
IFNA13	Ifna5
IFNA17	Ifna5
IFNA21	Ifna5
IFNA10	Ifna5
IFNA4	Ifna5
IFNA14	Ifna5
IFNA2	Ifna5
PFDN6	Pfdn6
IFNA7	Ifna4
IFNA8	Ifna4
IFNA1	Ifna4
IFNA16	Ifna4
IFNA6	Ifna4
IFNA5	Ifna4
IFNA13	Ifna4
IFNA17	Ifna4
IFNA21	Ifna4
IFNA10	Ifna4
IFNA4	Ifna4
IFNA14	Ifna4
IFNA2	Ifna4
FAM65B	Fam65b
AL078584.1	Fam65b
GSTA3	Gsta1
GSTA5	Gsta1
GSTA2	Gsta1
GSTA1	Gsta1
OTOL1	Otol1
IFNA7	Ifna1
IFNA8	Ifna1
IFNA1	Ifna1
IFNA16	Ifna1
IFNA6	Ifna1
IFNA5	Ifna1
IFNA13	Ifna1
IFNA17	Ifna1
IFNA21	Ifna1
IFNA10	Ifna1
IFNA4	Ifna1
IFNA14	Ifna1
IFNA2	Ifna1
MUC13	Muc13
PRSS2	Try10
PRSS3	Try10
PRSS1	Try10
CXorf56	C330007P06Rik
PLA2G2D	Pla2g2d
FLII	Flii
ZNF879	Zfp879
IFNE	Ifne
TSC22D3	Tsc22d3
MGAT4D	Mgat4d
PTPN9	Ptpn9
ZC3H12C	Zc3h12c
ZNF274	Zfp369
CYSLTR1	Cysltr1
GJB6	Gjb6
SYT3	Syt3
ADNP2	Adnp2
HEG1	Heg1
SPTA1	Spta1
ZNF212	Zfp212
PRPS1	Prps1l3
DTNB	Dtnb
CCDC120	Ccdc120
PTPRR	Ptprr
SMTN	Smtn
UBE2A	Ube2a
THEMIS	Themis
RAP1GDS1	Rap1gds1
MIPOL1	Mipol1
DSCAML1	Dscaml1
FBXO27	Fbxo27
SPTLC2	Sptlc2
SHANK1	Shank1
TRIM16	Trim16
TRIM16L	Trim16
PIGA	Piga
KCNQ4	Kcnq4
AQP9	Aqp9
DOCK2	Dock2
ZDBF2	Zdbf2
FAT1	Fat1
USP54	Usp54
ANO5	Ano5
ZNF618	Zfp618
PRDM2	Prdm2
AHNAK2	Ahnak2
RSRC2	Rsrc2
TCF19	Tcf19
DSG4	Dsg4
NDUFS6	Ndufs6
GRIK5	Grik5
SEC14L2	Sec14l2
RP4-539M6.19	Sec14l2
GSTA3	Gm3776
GSTA5	Gm3776
GSTA2	Gm3776
GSTA1	Gm3776
TAS2R41	Tas2r126
FBXW10	Fbxw10
CDRT1	Fbxw10
RP11-385D13.1	Fbxw10
NOL12	Nol12
RP1-37E16.12	Nol12
FKTN	Fktn
CMKLR1	Cmklr1
SMG8	Smg8
TSPAN7	Tspan7
RD3	Rd3
C16orf78	4933402J07Rik
PPP3CB	Ppp3cb
PANX2	Panx2
CLTB	Cltb
HSD17B11	Hsd17b11
MET	Met
STIM1	Stim1
PRMT8	Prmt8
SASH3	Sash3
COMMD3-BMI1	Bmi1
BMI1	Bmi1
COX6C	Cox6c
C11orf87	AI593442
SYT12	Syt12
TRABD	Trabd
CRACR2A	Cracr2a
RBM43	Rbm43
CD274	Cd274
SEC22A	Sec22a
CGA	Cga
DEFB135	Defb30
CMTM1	Cmtm1
ZNF335	Zfp335
SNTB1	Sntb1
MTAP	Mtap
RP11-145E5.5	Mtap
TNIP1	Tnip1
PELP1	Pelp1
DEFB136	Defb42
RHOD	Rhod
PPP2R1A	Ppp2r1a
CMTM2	Cmtm2a
RUNX2	Runx2
PDCD1LG2	Pdcd1lg2
DLGAP1	Dlgap1
CCDC40	Ccdc40
C19orf81	1700008O03Rik
SPPL2A	Sppl2a
GPS2	Gps2
ITGA2B	Itga2b
PRSS2	Prss3
PRSS3	Prss3
PRSS1	Prss3
TXNL4A	Txnl4a
DLL1	Dll1
SNAPC2	Snapc2
AIFM3	Aifm3
PRSS2	Gm5771
PRSS3	Gm5771
PRSS1	Gm5771
ZDHHC2	Zdhhc2
ZDHHC9	Zdhhc9
NAA11	Gm16286
ZNF207	Zfp207
LRRN1	Lrrn1
RHOH	Rhoh
NCMAP	Ncmap
SLCO1A2	Gm6614
CTD-3105H18.18	2410141K09Rik
CTD-2006C1.10	2410141K09Rik
ZNF625-ZNF20	2410141K09Rik
CTD-3105H18.14	2410141K09Rik
STIM2	Stim2
TAL2	Tal2
LEF1	Lef1
TM2D2	Tm2d2
TEX22	Tex22
PCIF1	Pcif1
SLC47A1	Slc47a1
IFT88	Ift88
RBM34	Rbm34
FICD	Ficd
AMBP	Ambp
SLC4A4	Slc4a4
SETMAR	Setmar
ZFP36L2	Zfp36l2
DCTN6	Dctn6
ANKRD10	Ankrd10
ZSCAN26	Zscan26
MARCH9	March9
GRM6	Grm6
OR13C7	Olfr157
FAM150A	Fam150a
PGBD1	Pgbd1
FBXO17	Fbxo17
PRDX6	Prdx6
AP2S1	Ap2s1
OR10W1	Olfr1490
CTXN1	Ctxn1
MTMR7	Mtmr7
OR10Q1	Olfr1491
MSANTD2	Msantd2
ATP5L	Atp5l
ATP5L2	Atp5l
TMEM38B	Tmem38b
FNDC9	Fndc9
ALKBH1	Alkbh1
PDPN	Pdpn
TTC39C	Ttc39c
ACAT2	Acat2
ZNF365	Zfp365
MED16	Med16
MMP9	Mmp9
CYFIP2	Cyfip2
RCN1	Rcn1
CFC1	Cfc1
CFC1B	Cfc1
DCAF6	Dcaf6
SUPT3H	Supt3
AL161905.1	Supt3
CLGN	Clgn
SPTBN4	Sptbn4
TMEM214	Tmem214
PSMD7	Psmd7
MID2	Mid2
EIF2D	Eif2d
NUDT19	Nudt19
SLC25A31	Slc25a31
HR	Hr
CLASP2	Clasp2
SLIRP	Slirp
CAMK2A	Camk2a
WAS	Was
MARCH11	March11
STK26	Stk26
NPVF	Npvf
CR2	Cr2
MPP3	Mpp3
MRPS15	Mrps15
HAS2	Has2
HMOX1	Hmox1
PIM2	Pim2
NUDT9	Nudt9
CNOT7	Cnot7
PLA2G2A	Pla2g2a
FOXJ2	Foxj2
LEP	Lep
ZNF454	Zfp454
REG3G	Reg3g
REG3A	Reg3g
DHX15	Dhx15
TMEM55B	Tmem55b
CDK4	Cdk4
ATP5C1	Atp5c1
SLC37A3	Slc37a3
SLC44A5	Slc44a5
FRMD7	Frmd7
PLA2G5	Pla2g5
CCDC157	Ccdc157
DSG2	Dsg2
GPR50	Gpr50
CIB3	Cib3
SLC12A5	Slc12a5
GSTA3	Gm10639
GSTA5	Gm10639
GSTA2	Gm10639
GSTA1	Gm10639
SLC7A3	Slc7a3
KCNH4	Kcnh4
RTKN	Rtkn
PRSS2	Gm10334
PRSS3	Gm10334
PRSS1	Gm10334
ZNF329	Zfp329
CHRNA9	Chrna9
OR8J3	Olfr1057
OR8J1	Olfr1057
FGFBP3	Fgfbp3
GAP43	Gap43
MYO16	Myo16
OR8K3	Olfr1058
KCNJ16	Kcnj16
FAM32A	Fam32a
RPP25L	Rpp25l
TRAF5	Traf5
SNU13	Nhp2l1
GALT	Galt
APEX1	Apex1
DCUN1D2	Dcun1d2
HOOK1	Hook1
RNF215	Rnf215
ROR1	Ror1
AMER3	Amer3
OR10Z1	Olfr419
MRPS6	Mrps6
RCOR3	Rcor3
OR1F1	Olfr161
MED1	Med1
MOB3B	Mob3b
FAM103A1	Gm10767
CFTR	Cftr
SLC5A3	Slc5a3
SPIN2A	Gm20830
SPIN2B	Gm20830
UQCRB	Uqcrb
IFNK	Ifnk
SHKBP1	Shkbp1
BTBD11	Btbd11
PPFIBP2	Ppfibp2
RCAN3	Rcan3
CHCHD4	AU015836
MTERF3	Mterf3
FZD4	Fzd4
TMEM44	Tmem44
WDR54	Wdr54
NOP2	Nop2
ENPP6	Enpp6
ERCC3	Ercc3
SERPINB13	Serpinb13
MPC1	Mpc1
KCNJ2	Kcnj2
TIMM44	Timm44
ZNF274	Zfp110
ERCC4	Ercc4
RNF10	Rnf10
IFT122	Ift122
ADGRL4	Adgrl4
SLC1A5	Slc1a5
OR10X1	Olfr417
OTUB2	Otub2
IL11RA	Il11ra1
LRGUK	Lrguk
ABCG8	Abcg8
RP1-302G2.5	Gm7325
RBM44	Rbm44
PRSS2	Prss1
PRSS3	Prss1
PRSS1	Prss1
DOK2	Dok2
TMCO3	Tmco3
VMA21	Vma21
CMTM2	Cmtm2b
BTAF1	Btaf1
WDR46	Wdr46
PNISR	Pnisr
NKAPL	Nkapl
CREM	Crem
RGS9BP	Rgs9bp
PTPRZ1	Ptprz1
AOX1	Aox1
RRM1	Rrm1
NADK2	Nadk2
CYB5R2	Cyb5r2
OR10W1	Olfr1493-ps1
NCOA5	Ncoa5
ANKH	Ank
SUMF1	Sumf1
ABT1	Abt1
C12orf54	1700031M16Rik
SART3	Sart3
CAMSAP1	Camsap1
PCLO	Pclo
ZFP2	Zfp2
RASSF5	Rassf5
CFAP53	Cfap53
AKT1S1	Akt1s1
THSD7A	Thsd7a
ABCG5	Abcg5
ASH2L	Ash2l
ZKSCAN3	Zkscan4
MID1IP1	Mid1ip1
FRMD4B	Frmd4b
VN1R4	Vmn1r233
PLEKHA2	Plekha2
RABGAP1	Rabgap1
PAX6	Pax6
ISCA1	AK157302
TMEM45B	Tmem45b
NUP62	Nup62
ZNF385B	Zfp385b
PIP5K1A	Pip5k1a
TRIOBP	Triobp
SEMA5B	Sema5b
OR8K3	Olfr1061
CD40	Cd40
RAD9B	Rad9b
RGS22	Rgs22
GABRA6	Gabra6
DMTF1	4932411N23Rik
IL4I1	Il4i1
DDX10	Ddx10
SDR16C5	Sdr16c5
MRPS12	Mrps12
OR8J3	Olfr1062
OR8J1	Olfr1062
CABYR	Cabyr
LRRC38	Lrrc38
PAIP2	Paip2
CAMK2N2	Camk2n2
EIF5A2	Eif5a2
CRABP2	Crabp2
TFAM	Tfam
MCM5	Mcm5
POP5	Pop5
HOMER1	Homer1
RNF7	Rnf7
RP11-2C24.9	Gm42715
SRCAP	Gm42715
RECK	Reck
SCOC	Scoc
USP14	Usp14
PPTC7	Pptc7
ATF5	Atf5
PRR11	Prr11
SLC23A1	Slc23a1
PRAMEF15	Pramel1
PRAMEF20	Pramel1
PRAMEF9	Pramel1
PRAMEF14	Pramel1
PRAMEF5	Pramel1
PRAMEF2	Pramel1
PRAMEF19	Pramel1
PRAMEF10	Pramel1
PRAMEF6	Pramel1
PRAMEF1	Pramel1
PRAMEF27	Pramel1
PRAMEF4	Pramel1
PRAMEF7	Pramel1
PRAMEF11	Pramel1
PRAMEF26	Pramel1
PRAMEF17	Pramel1
PRAMEF25	Pramel1
PRAMEF12	Pramel1
PRAMEF18	Pramel1
PRAMEF8	Pramel1
BTN1A1	Btn1a1
PBX3	Pbx3
ARID3C	Arid3c
PKHD1L1	Pkhd1l1
CRCP	Crcp
CAPN15	Capn15
FAM134A	Fam134a
KCNE2	Kcne2
CABP2	Cabp2
WDR26	Wdr26
PRSS2	Prss2
PRSS3	Prss2
PRSS1	Prss2
UBE2U	Ube2u
EPHA6	Epha6
TBC1D17	Tbc1d17
RP11-2C24.9	Srcap
SRCAP	Srcap
SIGMAR1	Sigmar1
HTRA4	Htra4
SYNGR4	Syngr4
ZNHIT2	Znhit2
RP11-701H24.9	Gm38393
SNURF	Gm38393
AP1M1	Ap1m1
MECR	Mecr
KIF1A	Kif1a
RBM28	Rbm28
OR10X1	Olfr248
CAPN11	Capn11
PQLC1	Pqlc1
PRR35	A930017K11Rik
OR10Q1	Olfr1494
OR8K3	Olfr1065
TVP23B	Tvp23b
UQCRH	Uqcrh
UQCRHL	Uqcrh
SLCO1A2	Slco1a6
OR6P1	Olfr414
CCL27	Ccl27a
S1PR2	S1pr2
CCHCR1	Cchcr1
LPCAT1	Lpcat1
KLHL14	Klhl14
FAF2	Faf2
OR8K3	Olfr1066
TNK2	Tnk2
COX5B	Gm11273
PRSS23	Prss23
RP11-701H24.9	Snurf
SNURF	Snurf
OR6Y1	Olfr220
SNRPN	Snrpn
KLF14	Klf14
GABBR2	Gabbr2
PLA2G4C	Pla2g4c
EXPH5	Exph5
MBTD1	Mbtd1
ARID3A	Arid3a
ZFX	Zfx
ZFY	Zfx
MPC2	Mpc2
ZNF574	Zfp574
SHPRH	Shprh
IFFO1	Iffo1
FGD3	Fgd3
MAGIX	Magix
CDH22	Cdh22
IVNS1ABP	Ivns1abp
LRFN4	Lrfn4
C6orf58	2310057J18Rik
NMI	Nmi
MFN2	Mfn2
C9orf72	3110043O21Rik
SRPK1	Srpk1
PDE12	Pde12
UBE3A	Ube3a
STRBP	Strbp
NF2	Nf2
NES	Nes
RIMBP2	Rimbp2
DENND6A	Dennd6a
LHX8	Lhx8
LANCL1	Lancl1
B3GALT4	B3galt4
OTX1	Otx1
RAMP1	Ramp1
MTNR1A	Mtnr1a
TEX13B	Tex13
DPY19L2	Dpy19l2
PRSS21	Prss21
DCTN3	Dctn3
PAQR8	Paqr8
SLC35C2	Slc35c2
SARS2	Sars2
CTC-360G5.8	Sars2
ATXN7L1	Atxn7l1
CWC22	Cwc22
OR10Q1	Olfr1495
LRRTM4	Lrrtm4
LMBRD1	Lmbrd1
ASB11	Asb11
SKA2	Ska2
DPM3	Dpm3
DAPL1	Dapl1
CLEC16A	Clec16a
OR1S2	Olfr1496
OR1S1	Olfr1496
TMEM265	Tmem265
FCER2	Fcer2a
AC114783.1	Gm35060
FLNA	Flna
PCYOX1	Pcyox1
SOX4	Sox4
PIEZO2	Piezo2
CMTM3	Cmtm3
GSTM4	Gstm4
SLC35B4	Slc35b4
GYPC	Gypc
FMN2	Fmn2
TNFSF4	Tnfsf4
RAB36	Rab36
ZHX2	Zhx2
ARF4	Arf4
DMRTA1	Dmrta1
CLDN34	Cldn34c4
AGFG1	Agfg1
SMIM11A	Smim11
HSPA4L	Hspa4l
TNFSF18	Tnfsf18
ZG16B	Sbp
RBM47	Rbm47
FNTB	Fntb
VASP	Vasp
STRN4	Strn4
PEX26	Pex26
GPR21	Gpr21
GTSF1	Gtsf1
CES5A	Ces5a
BMP4	Bmp4
TMBIM1	Tmbim1
TMEM143	Tmem143
ISCU	Iscu
KCNMB4	Kcnmb4
CHURC1	Churc1
OSCP1	Oscp1
IFI27L1	Ifi27
IFI27	Ifi27
CYP1A2	Cyp1a2
OR9Q2	Olfr1497
RAB15	Rab15
NIPAL3	Nipal3
STARD4	Stard4
KLF18	Zfp352
PRELP	Prelp
VGF	Vgf
RIC1	Ric1
OPTC	Optc
ZNF462	Zfp462
OR8K3	Olfr228
SI	Sis
SLC24A1	Slc24a1
KDELC2	Kdelc2
FAM216B	Fam216b
RAP2C	Rap2c
MEI1	Mei1
GPATCH8	Gpatch8
C2CD2L	C2cd2l
ITPR3	Itpr3
ARL4A	Arl4a
SERPINB3	Serpinb3a
SERPINB4	Serpinb3a
NFE2L3	Nfe2l3
TPST1	Tpst1
TRBC1	Trbc1
TRBC2	Trbc1
ME3	Me3
IAPP	Iapp
PNKD	Pnkd
ACY1	Acy1
ABHD14A-ACY1	Acy1
ERH	Gm10131
NTRK3	Ntrk3
SLCO1A2	Slco1a5
GAA	Gaa
H3F3A	H3f3b
FURIN	Furin
DCLK1	Dclk1
SERPINB3	Serpinb3d
SERPINB4	Serpinb3d
LY6L	Ly6l
PLCH1	Plch1
CEP57L1	Cep57l1
MBOAT4	Mboat4
BCAN	Bcan
SLC30A7	Slc30a7
CNKSR3	Cnksr3
ALDH1A2	Aldh1a2
PRDM6	Prdm6
OR8K3	Olfr1076
FAM46C	Fam46c
AASS	Aass
OR8K3	Olfr1077-ps1
ZNF8	Zfp128
MCTS1	Mcts1
RASD2	Rasd2
C21orf140	4930563D23Rik
STPG1	Stpg1
GBF1	Gbf1
TC2N	Tc2n
RWDD2A	Rwdd2a
KLF15	Klf15
ADAM17	Adam17
OR9I1	Olfr1499
CLIC6	Clic6
MS4A6E	Ms4a6b
MS4A6A	Ms4a6b
VSX2	Vsx2
FKRP	Fkrp
SOGA3	Soga3
RP3-403A15.5	Soga3
TRAF7	Traf7
OR52B4	Olfr547
OR9Q1	Olfr1500
RASA2	Rasa2
SLCO5A1	Slco5a1
SEC16A	Sec16a
IFI44	Ifi44
OR52B4	Olfr548-ps1
LRRC41	Lrrc41
ZSCAN22	Zscan22
ELMO2	Elmo2
HCRT	Hcrt
PLA2G2E	Pla2g2e
NGEF	Ngef
GLIPR2	Glipr2
GSTA3	Gsta2
GSTA5	Gsta2
GSTA2	Gsta2
GSTA1	Gsta2
C2orf81	1700003E16Rik
KIAA0408	9330159F19Rik
PAM	Pam
SLC38A5	Slc38a5
C1GALT1C1	C1galt1c1
MTMR2	Mtmr2
EHBP1	Ehbp1
SIRT2	Sirt2
CYP1A1	Cyp1a1
AMER1	Amer1
VWA9	Vwa9
C11orf65	4930550C14Rik
DIRC2	Dirc2
SPDL1	Spdl1
MAP4K4	Map4k4
RAD54L	Rad54l
OVCH2	Ovch2
FASLG	Fasl
GNAO1	Gnao1
GREM2	Grem2
GLS	Gls
PDE9A	Pde9a
RNF112	Rnf112
SLC26A8	Slc26a8
SPATA20	Spata20
AP1S1	Ap1s1
LY6H	Ly6h
OR8K3	Olfr1079
OTUD3	Otud3
ANKS6	Anks6
TTC39A	Ttc39a
LEPROTL1	Leprotl1
CD300LG	Cd300lg
VPS52	Vps52
XPO4	Xpo4
ASCL4	Ascl4
NKRF	Nkrf
NFYC	Nfyc
RTCB	Rtcb
FRMPD2	Frmpd2
FNDC3A	Fndc3a
CNIH3	Cnih3
F3	F3
CYP4F3	Cyp4f15
CYP4F2	Cyp4f15
CYP4F11	Cyp4f15
CYP4F8	Cyp4f15
CYP4F12	Cyp4f15
NEU2	Neu2
DBN1	Dbn1
CFL1	Cfl1
LSM10	Lsm10
TSPAN11	Tspan11
SNX12	Snx12
ACCS	Accs
RAPGEF4	Rapgef4
EWSR1	Ewsr1
NARS2	Nars2
ZNF488	Zfp488
PLOD1	Plod1
U2SURP	U2surp
SDC1	Sdc1
NUP54	Nup54
CAPZA2	Capza2
AKAP11	Akap11
AP4E1	Ap4e1
SEPT6	Sept6
ZFHX3	Zfhx3
TBX20	Tbx20
ASPN	Aspn
INSL5	Insl5
ALDH1L1	Aldh1l1
LATS2	Lats2
RTKN2	Rtkn2
SELENOO	Selenoo
MS4A4A	Ms4a4d
